"count","name","unicode","bytes","emojiid","emoji","rencoding","dens","dens.sm","rank"
31,"slice of pizza","U+1F355","\xF0\x9F\x8D\x95",316,"🍕","<ed><a0><bc><ed><bd><95>",0.6,0.000652888009303654,43
30,"face with open mouth","U+1F62E","\xF0\x9F\x98\xAE",734,"😮","<ed><a0><bd><ed><b8><ae>",0.6,0.000632485259012915,44
30,"sleeping face","U+1F634","\xF0\x9F\x98\xB4",736,"😴","<ed><a0><bd><ed><b8><b4>",0.6,0.000632485259012915,45
28,"black heart suit","U+2665","\xE2\x99\xA5",225,"♥","<e2><99><a5>",0.6,0.000591679758431437,46
28,"sparkling heart","U+1F496","\xF0\x9F\x92\x96",558,"💖","<ed><a0><bd><ed><b2><96>",0.6,0.000591679758431437,47
26,"crying face","U+1F622","\xF0\x9F\x98\xA2",24,"😢","<ed><a0><bd><ed><b8><a2>",0.5,0.000550874257849958,48
26,"beer mug","U+1F37A","\xF0\x9F\x8D\xBA",353,"🍺","<ed><a0><bc><ed><bd><ba>",0.5,0.000550874257849958,49
25,"white right pointing backhand index","U+1F449","\xF0\x9F\x91\x89",484,"👉","<ed><a0><bd><ed><b1><89>",0.5,0.000530471507559219,50
25,"television","U+1F4FA","\xF0\x9F\x93\xBA",650,"📺","<ed><a0><bd><ed><b3><ba>",0.5,0.000530471507559219,51
24,"double exclamation mark","U+203C","\xE2\x80\xBC",164,"‼","<e2><80><bc>",0.5,0.00051006875726848,52
24,"collision symbol","U+1F4A5","\xF0\x9F\x92\xA5",573,"💥","<ed><a0><bd><ed><b2><a5>",0.5,0.00051006875726848,53
24,"grinning face","U+1F600","\xF0\x9F\x98\x80",720,"😀","<ed><a0><bd><ed><b8><80>",0.5,0.00051006875726848,54
22,"smirking face","U+1F60F","\xF0\x9F\x98\x8F",12,"😏","<ed><a0><bd><ed><b8><8f>",0.4,0.000469263256687001,55
22,"raised fist","U+270A","\xE2\x9C\x8A",63,"✊","<e2><9c><8a>",0.4,0.000469263256687001,56
22,"money bag","U+1F4B0","\xF0\x9F\x92\xB0",583,"💰","<ed><a0><bd><ed><b2><b0>",0.4,0.000469263256687001,57
21,"face savouring delicious food","U+1F60B","\xF0\x9F\x98\x8B",9,"😋","<ed><a0><bd><ed><b8><8b>",0.4,0.000448860506396262,58
20,"dog face","U+1F436","\xF0\x9F\x90\xB6",467,"🐶","<ed><a0><bd><ed><b0><b6>",0.4,0.000428457756105523,59
20,"thumbs down sign","U+1F44E","\xF0\x9F\x91\x8E",489,"👎","<ed><a0><bd><ed><b1><8e>",0.4,0.000428457756105523,60
19,"face throwing a kiss","U+1F618","\xF0\x9F\x98\x98",17,"😘","<ed><a0><bd><ed><b8><98>",0.4,0.000408055005814784,61
19,"pouting face","U+1F621","\xF0\x9F\x98\xA1",23,"😡","<ed><a0><bd><ed><b8><a1>",0.4,0.000408055005814784,62
