"name","unicode","bytes","emojiid","emoji","rencoding"
"happy person raising one hand","U+1F64B","\xF0\x9F\x99\x8B",54,"🙋","<ed><a0><bd><ed><b9><8b>"
"person raising both hands in celebration","U+1F64C","\xF0\x9F\x99\x8C",55,"🙌","<ed><a0><bd><ed><b9><8c>"
"person frowning","U+1F64D","\xF0\x9F\x99\x8D",56,"🙍","<ed><a0><bd><ed><b9><8d>"
"person with pouting face","U+1F64E","\xF0\x9F\x99\x8E",57,"🙎","<ed><a0><bd><ed><b9><8e>"
"person with folded hands","U+1F64F","\xF0\x9F\x99\x8F",58,"🙏","<ed><a0><bd><ed><b9><8f>"
"black scissors","U+2702","\xE2\x9C\x82",59,"✂","<e2><9c><82>"
"white heavy check mark","U+2705","\xE2\x9C\x85",60,"✅","<e2><9c><85>"
"airplane","U+2708","\xE2\x9C\x88",61,"✈","<e2><9c><88>"
"envelope","U+2709","\xE2\x9C\x89",62,"✉","<e2><9c><89>"
"raised fist","U+270A","\xE2\x9C\x8A",63,"✊","<e2><9c><8a>"
"raised hand","U+270B","\xE2\x9C\x8B",64,"✋","<e2><9c><8b>"
"victory hand","U+270C","\xE2\x9C\x8C",65,"✌","<e2><9c><8c>"
"pencil","U+270F","\xE2\x9C\x8F",66,"✏","<e2><9c><8f>"
"black nib","U+2712","\xE2\x9C\x92",67,"✒","<e2><9c><92>"
"heavy check mark","U+2714","\xE2\x9C\x94",68,"✔","<e2><9c><94>"
"heavy multiplication x","U+2716","\xE2\x9C\x96",69,"✖","<e2><9c><96>"
"sparkles","U+2728","\xE2\x9C\xA8",70,"✨","<e2><9c><a8>"
"eight spoked asterisk","U+2733","\xE2\x9C\xB3",71,"✳","<e2><9c><b3>"
"eight pointed black star","U+2734","\xE2\x9C\xB4",72,"✴","<e2><9c><b4>"
"snowflake","U+2744","\xE2\x9D\x84",73,"❄","<e2><9d><84>"
"sparkle","U+2747","\xE2\x9D\x87",74,"❇","<e2><9d><87>"
"cross mark","U+274C","\xE2\x9D\x8C",75,"❌","<e2><9d><8c>"
"negative squared cross mark","U+274E","\xE2\x9D\x8E",76,"❎","<e2><9d><8e>"
"black question mark ornament","U+2753","\xE2\x9D\x93",77,"❓","<e2><9d><93>"
"white question mark ornament","U+2754","\xE2\x9D\x94",78,"❔","<e2><9d><94>"
